token,pos,frequency
切れる,動詞,121
背,名詞,121
一生,名詞,121
幸,名詞,121
桜,名詞,121
音楽,名詞,120
あらい,形容詞,120
約束,名詞,120
時分,名詞,120
鳴く,動詞,120
肉体,名詞,120
升,名詞,120
向,名詞,120
俺,名詞,120
かれる,動詞,120
芽,名詞,120
ぶん,名詞,120
丈,名詞,120
大事,名詞,120
帰り,名詞,120
薄い,形容詞,119
此処,名詞,119
名,接頭詞,119
椅子,名詞,119
熊,名詞,119
額,名詞,119
動かす,動詞,119
兄さん,名詞,119
恐らく,副詞,119
批評,名詞,118
三郎,名詞,118
真実,名詞,118
駄目,名詞,118
守,名詞,118
れい,名詞,118
可,名詞,118
かむ,動詞,118
どうか,副詞,117
英,名詞,117
ながめる,動詞,117
かげ,名詞,117
やめる,動詞,117
用意,名詞,117
くら,名詞,117
共に,副詞,117
界,名詞,117
卵,名詞,117
利根川,名詞,117
源,名詞,117
張,名詞,117
冷たい,形容詞,117
破る,動詞,117
景色,名詞,117
百姓,名詞,117
細君,名詞,116
なぞ,助詞,116
端,名詞,116
爺さん,名詞,116
ばか,名詞,116
膝,名詞,116
おのれ,名詞,116
七月,名詞,116
歯,名詞,116
讀む,動詞,116
番,名詞,116
勉強,名詞,116
啼く,動詞,116
半,名詞,116
次第,名詞,116
張り,名詞,116
殊,名詞,116
障子,名詞,115
越える,動詞,115
完全,名詞,115
闇,名詞,115
やっと,副詞,115
吉,名詞,115
婦人,名詞,115
衞,名詞,115
匁,名詞,115
別に,副詞,115
こんなに,副詞,115
太郎,名詞,114
疲れる,動詞,114
おろす,動詞,114
現代,名詞,114
家庭,名詞,114
以来,名詞,114
谷,名詞,114
至,名詞,114
世紀,名詞,114
解る,動詞,114
崖,名詞,114
退屈,名詞,114
宜,副詞,114
一時,名詞,114
流行,名詞,113
半,接頭詞,113
寄る,動詞,113
のち,名詞,113
灯,名詞,113
それぞれ,名詞,113
怒る,動詞,113
一言,名詞,113
言える,動詞,113
もはや,副詞,113
ばん,名詞,113
さまざま,名詞,113
すら,助詞,112
以外,名詞,112
足る,動詞,112
芝居,名詞,112
けど,助詞,112
直す,動詞,112
有名,名詞,112
なるほど,感動詞,111
身体,名詞,111
いわゆる,連体詞,111
満足,名詞,111
成る,動詞,111
思わず,副詞,111
翌日,名詞,111
丁度,副詞,111
鱒,名詞,111
永い,形容詞,111
活動,名詞,111
とおり,名詞,111
児,名詞,111
集める,動詞,111
印度,名詞,110
ふく,動詞,110
選ぶ,動詞,110
使,名詞,110
貰う,動詞,110
どれ,名詞,110
成功,名詞,110
振り,名詞,110
未だ,副詞,110
返る,動詞,110
故,接頭詞,110
広島,名詞,110
緑,名詞,110
楽,名詞,109
蔭,名詞,109
