token,pos,frequency
土地,名詞,32
痛い,形容詞,32
出発,名詞,32
お礼,名詞,32
暮す,動詞,32
三鷹,名詞,32
着く,動詞,32
有様,名詞,32
存じる,動詞,32
きのう,名詞,32
引く,動詞,32
たしか,名詞,32
おかしい,形容詞,32
狂う,動詞,32
い,名詞,31
散歩,名詞,31
上品,名詞,31
芝居,名詞,31
郵便,名詞,31
路,名詞,31
理由,名詞,31
はなはだ,副詞,31
にくい,形容詞,31
附ける,動詞,31
でも,接続詞,31
杯,名詞,31
姉さん,名詞,31
永遠,名詞,31
途中,名詞,31
まったく,副詞,31
える,動詞,31
宅,名詞,31
楽しい,形容詞,31
申,名詞,31
真面目,名詞,31
大丈夫,名詞,31
息,名詞,31
おそろしい,形容詞,31
世間,名詞,31
むずかしい,形容詞,31
指,名詞,31
おや,感動詞,31
菊,名詞,31
くさい,形容詞,31
流す,動詞,31
ほんの,連体詞,31
たずねる,動詞,30
迎える,動詞,30
相談,名詞,30
いわば,副詞,30
容,名詞,30
再び,副詞,30
財布,名詞,30
眉山,名詞,30
満,接頭詞,30
だい,名詞,30
さい,名詞,30
ゆるす,動詞,30
王子,名詞,30
要る,動詞,30
老生,名詞,30
兵,名詞,30
ずっと,副詞,30
ありがとう,感動詞,30
文化,名詞,30
喧嘩,名詞,30
県,名詞,30
のち,名詞,30
地方,名詞,30
たん,名詞,30
もん,名詞,30
感ずる,動詞,30
よそ,名詞,30
政治,名詞,30
たまる,動詞,30
す,動詞,30
掻く,動詞,30
銭,名詞,30
襖,名詞,30
動く,動詞,30
理想,名詞,30
おいで,名詞,30
完成,名詞,29
工夫,名詞,29
風呂,名詞,29
興,名詞,29
用事,名詞,29
森,名詞,29
狐,名詞,29
何だか,副詞,29
電車,名詞,29
列車,名詞,29
気の毒,名詞,29
散る,動詞,29
お辞儀,名詞,29
蟹,名詞,29
未だ,副詞,29
かなう,動詞,29
髪,名詞,29
ふっと,副詞,29
まことに,副詞,29
友達,名詞,29
全然,副詞,29
それだけ,副詞,29
或いは,接続詞,29
はつ,名詞,29
のぞく,動詞,29
たたく,動詞,29
つくる,動詞,29
あきらめる,動詞,29
ふるさと,名詞,29
天才,名詞,29
今日,名詞,29
両手,名詞,29
お父さん,名詞,29
求める,動詞,29
または,接続詞,29
以前,名詞,29
どれ,名詞,29
桜,名詞,29
うむ,動詞,29
燃える,動詞,29
洗う,動詞,29
込む,動詞,29
たちまち,副詞,29
ば,名詞,28
紙幣,名詞,28
疑う,動詞,28
題,名詞,28
回,名詞,28
嬉しい,形容詞,28
半分,名詞,28
袴,名詞,28
下駄,名詞,28
膝,名詞,28
山岸,名詞,28
隣る,動詞,28
明るい,形容詞,28
ふう,名詞,28
言い出す,動詞,28
騒ぐ,動詞,28
述べる,動詞,28
乱暴,名詞,28
達,名詞,28
恋,名詞,28
どうせ,副詞,28
事件,名詞,28
四つ,名詞,28
けさ,名詞,28
相,接頭詞,28
うに,名詞,28
倍,名詞,28
博士,名詞,28
貧しい,形容詞,28
富士,名詞,28
土産,名詞,28
品,名詞,28
靴,名詞,28
愚か,名詞,28
とおり,名詞,28
つぶやく,動詞,28
あちこち,名詞,28
寸,名詞,28
限る,動詞,28
発表,名詞,27
紳士,名詞,27
彼等,名詞,27
ごろ,名詞,27
用紙,名詞,27
コップ,名詞,27
猿,名詞,27
淋しい,形容詞,27
図,名詞,27
高等,名詞,27
全,接頭詞,27
米,名詞,27
入れる,動詞,27
公,名詞,27
不愉快,名詞,27
里,名詞,27
