token,pos,frequency
細君,名詞,59
もちろん,副詞,59
社,名詞,59
そろそろ,副詞,59
これら,名詞,59
のぞく,動詞,59
扉,名詞,59
厭,名詞,59
帰り,名詞,59
物語,名詞,59
うごく,動詞,59
歩,名詞,59
とかいう,助詞,58
井伏,名詞,58
市,名詞,58
結婚,名詞,58
趣味,名詞,58
出,名詞,58
上げる,動詞,58
篇,名詞,58
指,名詞,58
佐野,名詞,58
時計,名詞,58
矢,名詞,58
嘉,名詞,58
はじまる,動詞,58
綺麗,名詞,58
はげしい,形容詞,58
紳士,名詞,58
間もなく,副詞,58
米,名詞,58
こちら,名詞,58
おりる,動詞,58
さい,名詞,58
申,名詞,58
薬,名詞,58
竹,名詞,58
状態,名詞,58
だます,動詞,57
にげる,動詞,57
いくら,副詞,57
きれる,動詞,57
ぜん,名詞,57
けり,助動詞,57
旅,名詞,57
感ずる,動詞,57
だれ,名詞,57
鏡,名詞,57
農民,名詞,57
経つ,動詞,57
相談,名詞,57
芝居,名詞,57
大声,名詞,57
附く,動詞,57
太陽,名詞,57
しく,動詞,57
個人,名詞,57
衣,名詞,57
くさい,形容詞,57
承知,名詞,56
雀,名詞,56
癖,名詞,56
末,名詞,56
はなはだ,副詞,56
一郎,名詞,56
意見,名詞,56
きのう,名詞,56
真似,名詞,56
かねる,動詞,56
虫,名詞,56
老,接頭詞,56
縁,名詞,56
役人,名詞,56
でん,副詞,56
他人,名詞,56
水準,名詞,56
人生,名詞,56
かつて,副詞,56
おどろく,動詞,56
彼ら,名詞,56
よす,動詞,56
小書き,名詞,56
折,名詞,56
案内,名詞,55
尊敬,名詞,55
醜い,形容詞,55
電車,名詞,55
まわり,名詞,55
つまる,動詞,55
たれる,動詞,55
えらい,形容詞,55
のち,名詞,55
はか,名詞,55
俺,名詞,55
元気,名詞,55
つぶ,名詞,55
しきりに,副詞,55
席,名詞,55
にくい,形容詞,55
作,名詞,55
今,接頭詞,55
詩人,名詞,55
針,名詞,55
さまざま,名詞,55
こしらえる,動詞,55
いろいろ,名詞,54
之,助詞,54
投げる,動詞,54
ついに,副詞,54
判る,動詞,54
全体,名詞,54
あらう,動詞,54
たまる,動詞,54
くださる,動詞,54
英語,名詞,54
さよなら,感動詞,54
限り,名詞,54
がん,名詞,54
再び,副詞,54
おくれる,動詞,54
はるか,名詞,54
骨,名詞,54
更に,副詞,54
掛ける,動詞,54
昨日,名詞,54
血,名詞,54
ひま,名詞,54
当る,動詞,54
下る,動詞,54
洗う,動詞,54
緑,名詞,54
考,名詞,53
瓶,名詞,53
彼等,名詞,53
記憶,名詞,53
高等,名詞,53
全,接頭詞,53
筋,名詞,53
焼く,動詞,53
家庭,名詞,53
やむ,動詞,53
事件,名詞,53
倒れる,動詞,53
代り,名詞,53
どれ,名詞,53
電,名詞,53
捕る,動詞,53
うん,フィラー,53
まいる,動詞,53
